RMSE,NRMSE,Pearson,Kendall,Spearman
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.031090482509493828)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.9087086666812559)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.41743090338207073)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.2993992897266747)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'SMT100-Climavi', 'Value': np.float64(0.3894676881169337)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(0.4702638508381837)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(1.4760532409619809)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.6118889839473172)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.4569633778504001)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Climavi', 'Value': np.float64(-0.6204542634253113)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Climavi', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Plantobelly-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(0.472214652197591)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(1.482176370911038)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.898062676974635)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.6942051462397506)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-SMT100', 'Value': np.float64(-0.8560455901539725)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-SMT100', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Watermark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Plantobelly', 'Value': np.float64(nan)}"
"{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': nan}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}","{'Tree': 1, 'Depth': 'Ballen', 'Pair': 'Tensiomark-Watermark', 'Value': np.float64(nan)}"
