timestamp_unix,60,Ballen,30
1717138142,96.0,,
1717146355,,96.0,
1717149590,,,97.0
1717158147,95.0,,
1717165937,,96.0,
1717168974,,,97.0
1717178135,96.0,,
1717185513,,96.0,
1717188350,,,98.0
1717198132,97.0,,
1717205082,,96.0,
1717207724,,,97.0
1717218114,95.0,,
1717224650,,94.0,
1717227107,,,94.0
1717238099,92.0,,
1717244233,,92.0,
1717246496,,,94.0
1717258120,94.0,,
1717263839,,94.0,
1717265913,,,95.0
1717278143,95.0,,
1717283436,,96.0,
1717285317,,,97.0
1717298145,96.0,,
1717303018,,96.0,
1717304705,,,97.0
1717318133,96.0,,
1717322589,,96.0,
1717324081,,,97.0
1717338117,97.0,,
1717342157,,97.0,
1717343456,,,98.0
1717358098,98.0,,
1717361721,,98.0,
1717362826,,,100.0
1717378068,99.0,,
1717381276,,99.0,
1717382186,,,100.0
1717398039,98.0,,
1717400823,,98.0,
1717401538,,,99.0
1717418003,97.0,,
1717420372,,98.0,
1717420893,,,98.0
1717437974,98.0,,
1717439927,,98.0,
1717440253,,,99.0
1717457943,98.0,,
1717459479,,98.0,
1717459621,,,99.0
1717477908,97.0,,
1717478976,,,97.0
1717479048,,97.0,
1717497877,95.0,,
1717498335,,,95.0
1717498602,,96.0,
1717517711,,,95.0
1717517863,97.0,,
1717518169,,96.0,
1717537089,,,97.0
1717537739,,98.0,
1717537852,97.0,,
1717556466,,,97.0
1717557299,,98.0,
1717557828,97.0,,
1717575828,,,94.0
1717576855,,96.0,
1717577799,96.0,,
1717595193,,,94.0
1717596416,,96.0,
1717597777,97.0,,
1717614568,,,95.0
1717615983,,98.0,
1717617763,99.0,,
1717633930,,,97.0
1717635537,,100.0,
1717637732,100.0,,
1717653277,,,94.0
1717655079,,98.0,
1717657687,96.0,,
1717672622,,,91.0
1717674620,,95.0,
1717677648,95.0,,
1717692009,,,92.0
1717694190,,97.0,
1717697644,97.0,,
1717711386,,,93.0
1717713758,,98.0,
1717717626,98.0,,
1717730747,,,94.0
1717733309,,98.0,
1717737593,97.0,,
1717750101,,,88.0
1717752856,,94.0,
1717757556,93.0,,
1717769468,,,88.0
1717772421,,95.0,
1717777557,95.0,,
1717788865,,,90.0
1717792006,,97.0,
1717797559,97.0,,
1717808252,,,92.0
1717811572,,98.0,
1717817537,97.0,,
1717827612,,,89.0
1717831123,,95.0,
1717837502,92.0,,
1717846981,,,85.0
