timestamp_unix,30,60,Ballen
-9223372037,1.6115,1.377875,2.18475
1718229840,1.946,1.598,2.788
1718230740,1.945,1.598,2.787
1718231640,1.946,1.597,2.79
1718232540,1.946,1.597,2.788
1718233440,1.948,1.598,2.785
1718234340,1.949,1.601,2.781
1718235240,1.947,1.599,2.78
1718236140,1.95,1.597,2.779
1718237040,1.949,1.599,2.777
1718237940,1.95,1.6,2.777
1718238840,1.95,1.599,2.779
1718239740,1.951,1.601,2.776
1718240640,1.952,1.602,2.774
1718241540,1.952,1.604,2.773
1718242440,1.954,1.604,2.769
1718243340,1.953,1.602,2.769
1718244240,1.955,1.604,2.768
1718245140,1.956,1.601,2.771
1718246040,1.957,1.601,2.764
1718246940,1.957,1.602,2.767
1718247840,1.958,1.605,2.765
1718248740,1.958,1.605,2.765
1718249640,1.958,1.605,2.765
1718250540,1.959,1.605,2.76
1718251440,1.961,1.603,2.761
1718252340,1.96,1.606,2.761
1718253240,1.959,1.606,2.755
1718254140,1.96,1.606,2.753
1718255040,1.96,1.606,2.755
1718255940,1.96,1.605,2.757
1718256840,1.962,1.608,2.755
1718257740,1.961,1.605,2.753
1718258640,1.961,1.607,2.753
1718259540,1.963,1.61,2.752
1718260440,1.962,1.609,2.75
1718261340,1.962,1.611,2.749
1718262240,1.965,1.609,2.745
1718263140,1.963,1.609,2.748
1718264040,1.964,1.609,2.75
1718264940,1.963,1.609,2.749
1718265840,1.964,1.611,2.746
1718266740,1.963,1.61,2.749
1718267640,1.965,1.61,2.75
1718268540,1.964,1.611,2.754
1718269440,1.966,1.612,2.753
1718270340,1.965,1.612,2.754
1718271240,1.966,1.614,2.758
1718272140,1.967,1.61,2.756
1718273040,1.966,1.611,2.759
1718273940,1.967,1.611,2.762
1718274840,1.967,1.613,2.763
1718275740,1.967,1.612,2.766
1718276640,1.966,1.612,2.766
1718277540,1.968,1.611,2.768
1718278440,1.967,1.612,2.767
1718279340,1.968,1.612,2.771
1718280240,1.966,1.613,2.776
1718281140,1.967,1.611,2.776
1718282040,1.966,1.61,2.781
1718282940,1.967,1.614,2.777
1718283840,1.967,1.614,2.781
1718284740,1.968,1.613,2.788
1718285640,1.968,1.614,2.79
1718286540,1.968,1.617,2.79
1718287440,1.969,1.613,2.792
1718288340,1.969,1.616,2.793
1718289240,1.969,1.616,2.793
1718290140,1.97,1.615,2.8
1718291040,1.968,1.616,2.799
1718291940,1.969,1.617,2.803
1718292840,1.97,1.615,2.804
1718293740,1.969,1.615,2.805
1718294640,1.969,1.616,2.805
1718295540,1.969,1.616,2.808
1718296440,1.969,1.617,2.808
1718297340,1.968,1.618,2.808
1718298240,1.969,1.616,2.808
1718299140,1.969,1.616,2.809
1718300040,1.97,1.618,2.811
1718300940,1.969,1.619,2.812
1718301840,1.969,1.619,2.813
1718302740,1.969,1.62,2.813
1718303640,1.97,1.621,2.811
1718304540,1.969,1.621,2.813
1718305440,1.97,1.62,2.812
1718306340,1.971,1.62,2.813
1718307240,1.971,1.619,2.812
1718308140,1.972,1.619,2.813
1718309040,1.97,1.618,2.813
1718309940,1.971,1.62,2.813
1718310840,1.973,1.619,2.814
1718311740,1.972,1.619,2.813
1718312640,1.973,1.623,2.811
1718313540,1.974,1.626,2.814
1718314440,1.974,1.623,2.815
1718315340,1.974,1.622,2.813
1718316240,1.975,1.623,2.813
1718317140,1.977,1.623,2.811
1718318040,1.98,1.622,2.811
1718318940,1.978,1.626,2.813
1718319840,1.981,1.625,2.81
1718320740,1.981,1.627,2.812
1718321640,1.98,1.626,2.81
1718322540,1.982,1.626,2.81
1718323440,1.982,1.626,2.812
1718324340,1.982,1.628,2.811
1718325240,1.983,1.632,2.81
1718326140,1.984,1.629,2.809
1718327040,1.984,1.629,2.81
1718327940,1.984,1.628,2.809
1718328840,1.985,1.628,2.808
1718329740,1.985,1.629,2.807
1718330640,1.986,1.631,2.808
1718331540,1.987,1.63,2.808
1718332440,1.987,1.629,2.807
1718333340,1.988,1.633,2.807
1718334240,1.988,1.63,2.805
1718335140,1.988,1.633,2.806
1718336040,1.99,1.633,2.806
1718336940,1.993,1.631,2.804
1718337840,1.994,1.631,2.805
1718338740,1.994,1.631,2.802
1718339640,1.994,1.633,2.803
1718340540,1.994,1.634,2.805
1718341440,1.995,1.631,2.804
